Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
1/2025,1005628,Bất động sản,158,123,35,27,131,"4,692,407",650699,4041708,213981,344734,116428,1734163,327067,426514,1502953,1133749,3558658,4289882,331053,71472,1794011,2347668,499741,43220
1/2025,1002966,Đời sống,246,193,53,53,193,"10,064,939",1147317,8917622,524442,2438808,230298,2748456,501635,1060212,2489649,1147076,8917863,8836813,997658,230468,5301752,3935141,710477,104549
1/2025,1003231,Du lịch,248,182,66,43,205,"4,659,916",632531,4027385,268776,1042189,75968,1242917,308338,473927,1211600,731191,3928725,4124658,437835,97423,1998619,2230840,377952,44121
1/2025,1003888,English,1297,1254,43,0,1297,"6,053,773",331687,5722086,785013,2603268,183789,332612,117801,383249,1627851,1463718,4590055,2168908,3104785,780080,3888630,1448365,623774,74916
1/2025,1002691,Giải trí,453,428,25,131,322,"14,786,452",1683071,13103381,701647,2264134,207476,4468662,1060560,2039433,3848141,2301419,12485033,12307725,2053665,425062,7400775,5920270,1294226,148019
1/2025,1003497,Giáo dục,244,211,33,50,194,"7,368,027",655812,6712215,562261,2730158,254048,1585986,202283,672685,1316643,811807,6556220,6895800,379644,92583,4215398,2594860,488008,61929
1/2025,1003450,Góc nhìn,32,32,0,0,32,"2,625,670",326040,2299630,167742,91857,35405,810747,43656,130478,1340718,834584,1791086,2388986,194898,41786,814791,1170436,611446,25689
1/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"12,159,243",2002255,10156988,728052,2260734,142781,3438764,822157,1326596,3306034,0,0,10798899,1120489,239855,5574159,5425529,1036380,107335
1/2025,1003159,Kinh doanh,628,336,292,172,456,"13,860,888",2240341,11620547,1221375,1337073,270464,4960693,891519,1019012,4073115,2803671,11057217,12442091,1211979,206818,6084696,6298853,1361580,100824
1/2025,1004492,Mới nhất,0,0,0,0,0,"4,685,486",569772,4115714,264016,347012,94,501023,118810,429749,3023363,4685486,0,4188256,418015,79215,1036419,1968224,1642170,32927
1/2025,1002835,Ngôi sao,1548,1467,81,0,1548,"51,700,100",3160426,48539674,8809028,7994106,2904561,9178559,1455537,8105995,13110134,19006858,32693242,43811809,6543784,1344507,31949871,18779887,478436,450040
1/2025,1001007,Pháp luật,344,344,0,161,183,"27,740,912",2946640,24794272,1452220,2192586,808144,9477971,1849048,3831538,7907529,3870889,23870023,25102042,2194040,444830,15758538,8667294,3050547,230490
1/2025,1005858,Spotlight,0,0,0,0,0,"4,462",326,4136,346,19,6,960,404,622,2074,4462,0,4080,305,77,2722,1622,0,108
1/2025,1003750,Sức khỏe,901,363,538,45,856,"9,582,892",980587,8602305,500844,2267088,236303,2398845,377326,840139,2880475,1024764,8558128,8581281,819685,181926,5485627,3067400,904839,95426
1/2025,1001014,Tâm sự,493,493,0,0,493,"11,802,949",1241923,10561026,576762,1233821,38557,2230918,1968498,1916788,3768668,3388563,8414386,10455007,1122475,225467,6401825,4322025,968019,101746
1/2025,1001002,Thế giới,952,952,0,398,554,"42,851,647",5215941,37635706,2351233,4119968,163288,12525026,4473942,5576953,13249426,11003538,31848109,35992477,5731212,1127958,24321452,13881297,4227065,373008
1/2025,1002565,Thể thao,750,715,35,249,501,"33,220,695",3791968,29428727,2145799,4091586,146167,9752041,3656593,3245029,9920253,10369950,22850745,29389981,3169078,661636,19557504,10476306,2891757,247091
1/2025,1001005,Thời sự,382,382,0,273,109,"27,021,733",2991984,24029749,1462126,2434183,860026,10575645,1390457,2256753,7893640,4301878,22719855,25061699,1633711,326323,14294693,9414136,3073922,209886
1/2025,1001011,Thư giãn,248,248,0,0,248,"4,457,770",899624,3558146,220429,1177605,14420,708327,150110,1393642,764631,318483,4139287,4166740,241359,49671,2019152,2247753,149632,36911
1/2025,1006255,VnE-GO,0,0,0,0,0,"11,240,778",912426,10328352,380231,256363,134835,4127567,368566,900662,5030236,0,0,10290609,781204,168965,4846614,4022493,2301506,60202
1/2025,1000000,VnExpress,0,0,0,0,0,"173,516,948",18645555,154871393,73776315,15978144,42674,61306,1133771,5899363,76199386,173516948,0,156554505,13918645,3043798,79941148,67400846,24827427,1162751
1/2025,1001006,Xe,322,234,88,38,284,"10,291,692",1630428,8661264,539410,2585987,57435,1661188,999684,765520,3638741,4598719,5692973,9682555,503626,105511,5165811,4577839,473090,62807
1/2025,1001012,Ý kiến,230,230,0,1,229,"5,757,334",519912,5237422,258397,1349216,1195275,874577,240301,650365,1120807,526734,5230600,5367019,320393,69922,3785576,1450405,466514,51348
2/2025,1005628,Bất động sản,111,91,20,25,86,"3,859,590",475045,3384545,174552,322340,107429,1407404,264347,387207,1171486,878129,2981461,3529516,266414,63660,1601379,1813067,403347,37411
2/2025,1002966,Đời sống,184,152,32,40,144,"7,607,476",692171,6915305,480654,2208617,324677,1619749,386317,756976,1772722,895354,6712122,6659988,744327,203161,4485568,2479524,550262,84048
2/2025,1003231,Du lịch,204,162,42,61,143,"5,556,713",518636,5038077,285368,1278878,246414,1611406,241716,514607,1339292,596817,4959896,4920491,510176,126046,3155957,1851878,489820,52902
2/2025,1003888,English,1061,1040,21,0,1061,"5,500,865",264781,5236084,738894,2587547,166521,260312,82262,325041,1322857,1174112,4326753,1694715,2989510,816640,3838799,1052468,529409,65352
2/2025,1002691,Giải trí,413,397,16,151,262,"15,245,071",1519568,13725503,753017,2274221,617662,4676586,894743,2110691,3766712,1918284,13326787,12739203,2018842,487026,8600130,5159938,1311623,155132
2/2025,1003497,Giáo dục,203,181,22,42,161,"6,202,996",415887,5787109,448928,2258341,528025,1234399,149456,521418,1026394,657768,5545228,5731586,369437,101973,3922197,1806902,412189,56639
2/2025,1003450,Góc nhìn,28,28,0,0,28,"2,247,595",233901,2013694,133738,78246,55851,664824,35939,112874,1161221,702055,1545540,2023592,180335,43668,772395,888968,559442,23927
2/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"11,238,862",1393805,9845057,610678,2112786,555376,3164554,661702,1181460,2835026,0,0,9949862,1031379,257621,6322399,3810547,992963,102170
2/2025,1003159,Kinh doanh,466,292,174,149,317,"12,083,846",1387908,10695938,1037368,1324913,412230,4162167,723993,913066,3434360,2165507,9918339,10883388,985160,215298,6110859,4645771,1220150,96553
2/2025,1004492,Mới nhất,0,0,0,0,0,"3,771,713",432461,3339252,223053,288478,201,400631,89336,349119,2419903,3771713,0,3352034,341763,77916,880325,1446498,1412994,27680
2/2025,1002835,Ngôi sao,1290,1260,30,0,1290,"44,505,203",2436156,42069047,7490013,7707315,3365474,8320820,1231358,6842567,9443317,15220006,29285197,37308907,5793906,1402390,30253098,13293557,465253,469815
2/2025,1001007,Pháp luật,248,248,0,98,150,"18,421,293",1864192,16557101,1043061,1480781,600519,5895312,1430286,2470207,5345888,3002511,15418782,16437708,1609682,373903,10776073,5351826,2118515,154547
2/2025,1005858,Spotlight,0,0,0,0,0,"4,375",501,3874,328,4,17,786,336,512,2370,4375,0,4067,245,63,3123,1164,0,88
2/2025,1003750,Sức khỏe,776,287,489,54,722,"8,226,654",818719,7407935,438076,1784870,161935,2165567,294690,725508,2594461,803392,7423262,7378891,674199,173564,4771945,2458884,875238,80958
2/2025,1001014,Tâm sự,411,411,0,0,411,"10,221,315",965020,9256295,521542,1112829,173690,1765232,1687229,1729391,3168460,2898167,7323148,9031087,966464,223764,6072739,3171857,879123,90973
2/2025,1001002,Thế giới,810,810,0,334,476,"35,889,641",4097766,31791875,2047650,3553472,102741,9502326,4053183,5407178,10830316,9455258,26434383,30143272,4656126,1090243,21720070,10236486,3570839,323174
2/2025,1002565,Thể thao,573,547,26,159,414,"20,099,308",2255450,17843858,1474233,2427661,66324,5097387,2795129,2133733,6011891,7555571,12543737,17518026,2083800,497482,11966857,6190621,1754568,154763
2/2025,1001005,Thời sự,402,402,0,339,63,"26,376,553",2568967,23807586,1293655,2551372,1097945,10616611,1093633,2297339,7281391,3301500,23075053,24313047,1681858,381648,15246258,7778982,3099432,226977
2/2025,1001011,Thư giãn,215,215,0,0,215,"3,715,379",574634,3140745,179887,1045568,107602,507153,121544,1134773,594211,259505,3455874,3466628,200334,48417,2032857,1505297,139134,35018
2/2025,1006255,VnE-GO,0,0,0,0,0,"9,313,373",696848,8616525,329406,284228,154301,3019433,294516,753036,4445443,0,0,8494920,653419,165034,4095412,3246134,1904449,58339
2/2025,1000000,VnExpress,0,0,0,0,0,"135,822,644",11516945,124305699,57715738,13000907,36343,15999,930256,4744982,59036294,135822644,0,121513597,11492721,2816326,67085080,47008098,20614215,974152
2/2025,1001006,Xe,241,205,36,21,220,"8,628,947",999959,7628988,474342,2693646,95598,1214878,861296,741464,2506235,4230667,4398280,8127195,400141,101611,5150877,3018818,391872,57303
2/2025,1001012,Ý kiến,182,182,0,0,182,"3,732,702",316999,3415703,191577,840547,573274,630452,187541,417788,820452,433088,3299614,3461508,217491,53703,2405567,920441,370861,33731
3/2025,1005628,Bất động sản,201,141,60,35,166,"4,885,976",503507,4382469,235019,486589,168052,1615247,343726,474246,1531284,1179169,3706807,4505080,303940,76956,1985547,2332410,520732,42028
3/2025,1002966,Đời sống,247,200,47,48,199,"11,034,437",856752,10177685,598900,3091445,649477,2613828,487249,1073834,2449608,1095374,9939063,9799328,960811,274298,6489542,3641588,784359,108949
3/2025,1003231,Du lịch,225,175,50,36,189,"6,017,218",551019,5466199,317571,1306781,207129,1708545,304328,615991,1514417,716233,5300985,5337396,531042,148780,2971487,2473536,513715,51268
3/2025,1003888,English,1309,1246,63,0,1309,"7,658,687",323277,7335410,1078032,3854268,180243,334768,109726,437213,1644209,1560088,6098599,2224979,4054840,1378868,5465096,1445904,633182,96385
3/2025,1002691,Giải trí,380,354,26,117,263,"14,559,924",1378542,13181382,727276,2326821,361746,4269212,1021888,1975742,3726848,2227073,12332851,12098985,1931186,529753,7392587,5752225,1250238,147317
3/2025,1003497,Giáo dục,337,249,88,88,249,"8,873,163",541590,8331573,611771,2957541,710237,1920326,227243,809164,1576255,889821,7983342,8254876,473624,144663,5429539,2751785,613271,71957
3/2025,1003450,Góc nhìn,30,30,0,0,30,"2,618,528",233063,2385465,174932,79738,80307,691721,45864,138602,1401384,935554,1682974,2386737,182817,48974,884752,1071456,632973,26260
3/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"15,759,064",1640182,14118882,1031780,3238002,1209605,3843277,774761,1372032,4012843,0,0,14213100,1204526,341438,9038187,5387216,1188702,127243
3/2025,1003159,Kinh doanh,637,370,267,186,451,"16,227,670",1603836,14623834,1564263,1930338,785885,5217837,916032,1141938,4576526,2830288,13397382,14783424,1161768,282478,8227907,6279946,1597730,109777
3/2025,1004492,Mới nhất,0,0,0,0,0,"4,741,776",500884,4240892,279302,363635,208,521366,124811,443972,3006846,4741776,0,4239789,400030,101957,1060092,1972228,1671989,31781
3/2025,1002835,Ngôi sao,1535,1464,71,1180,355,"51,504,360",2645059,48859301,9039700,8858385,2258996,10053302,1425955,7857496,11903013,18538319,32966041,43499654,6309729,1694977,32436737,18000097,550087,483611
3/2025,1001007,Pháp luật,338,338,0,151,187,"28,312,408",2459065,25853343,1568779,2668664,1019460,9291350,1759635,3704856,8045736,3871034,24441374,25521063,2226306,565039,16136329,8847773,3085356,216190
3/2025,1005858,Spotlight,0,0,0,0,0,"9,792",379,9413,349,13,1,892,346,634,7523,9792,0,9452,267,73,8286,1362,0,142
3/2025,1003750,Sức khỏe,990,378,612,79,911,"13,000,537",1040199,11960338,620873,2739806,276554,3708824,411598,1192499,3953456,1052179,11948358,11614938,1069583,316016,7645722,3911027,1290798,117515
3/2025,1001014,Tâm sự,489,489,0,0,489,"11,883,886",1029163,10854723,600500,1154599,313856,2139459,1953060,1934082,3721617,3466011,8417875,10558502,1052544,272840,6547191,4235871,991759,101154
3/2025,1001002,Thế giới,965,965,0,413,552,"48,874,360",4934671,43939689,2783778,5128077,199174,13740330,4901507,7004755,14597868,11561032,37313328,41569884,5791338,1513138,28881883,14663847,4884776,392915
3/2025,1002565,Thể thao,755,685,70,235,520,"29,579,296",2879864,26699432,2004730,3469436,217337,8400691,3581987,2948364,8823733,9651534,19927762,26135831,2713900,729565,17449248,9281749,2581657,209685
3/2025,1001005,Thời sự,419,413,6,302,117,"27,179,940",2304024,24875916,1450015,2871540,1416259,9990672,1387498,2415727,7486420,4393643,22786297,25223103,1564167,392670,15104699,8870916,2975716,201711
3/2025,1001011,Thư giãn,243,243,0,0,243,"4,132,549",529314,3603235,189454,1025594,84978,580952,142758,1360617,703910,308305,3824244,3826112,239993,66444,2039097,1895056,159496,35851
3/2025,1006255,VnE-GO,0,0,0,0,0,"10,206,115",703624,9502491,355032,381300,158776,3327204,387179,771836,4782615,0,0,9385436,635229,185450,4452921,4098515,1592766,54431
3/2025,1000000,VnExpress,0,0,0,0,0,"177,609,492",13588075,164021417,77876477,16901203,58607,50865,1202797,6392586,74542684,177609492,0,156421043,15508177,5680272,80646079,69863179,25781830,1123600
3/2025,1001006,Xe,325,270,55,29,296,"9,808,023",1058156,8749867,566843,2944027,64812,1479102,989252,825538,2878037,4496135,5311888,9185290,479735,142998,5401723,3873642,461711,58265
3/2025,1001012,Ý kiến,206,206,0,0,206,"4,047,287",305272,3742015,213513,961938,471592,717511,217111,467237,930680,511278,3536009,3728814,244761,73712,2499858,1102062,406869,36235
4/2025,1005628,Bất động sản,180,117,63,28,152,"4,187,920",402804,3785116,222093,401782,130942,1372910,317224,399282,1316006,1100868,3087052,3879251,260655,48014,1600960,2101583,447106,34431
4/2025,1002966,Đời sống,221,181,40,44,177,"9,582,761",682536,8900225,527929,2600020,599595,2288264,457048,882469,2164787,1028846,8553915,8492725,904242,185794,5576182,3231570,685096,83507
4/2025,1003231,Du lịch,255,193,62,71,184,"6,229,627",467689,5761938,362973,1600285,292388,1617261,296704,546436,1464669,700381,5529246,5642187,489862,97578,3293647,2396935,488050,46649
4/2025,1003888,English,1166,1127,39,0,1166,"8,022,265",298141,7724124,1058329,4308475,156843,255645,102506,384219,1736415,1416982,6605283,2061438,4800655,1160172,5951232,1337292,634734,83778
4/2025,1002691,Giải trí,422,393,29,125,297,"14,378,586",1136806,13241780,675821,2074109,625275,4323714,965886,1963206,3580560,2109956,12268630,11858920,2078679,440987,7652425,5294251,1282429,136486
4/2025,1003497,Giáo dục,320,246,74,79,241,"8,615,809",432456,8183353,584912,3311090,616511,1597197,224787,799103,1426011,867624,7748185,8090844,429079,95886,5297098,2682617,565948,64813
4/2025,1003450,Góc nhìn,29,29,0,0,29,"2,531,500",197865,2333635,156651,223311,66284,666650,43602,134272,1233311,828136,1703364,2313976,179506,38018,929734,1000955,575979,22424
4/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"14,947,350",1534958,13412392,1676842,2309818,1175896,3590204,738013,1280463,3854912,0,0,13539397,1147604,260349,7931008,5711216,1166855,104310
4/2025,1003159,Kinh doanh,704,372,332,186,518,"16,414,808",1514162,14900646,1642042,1764784,851630,5378740,911912,1198141,4572658,2747687,13667121,15058378,1156197,200233,8277629,6329110,1692730,104512
4/2025,1004492,Mới nhất,0,0,0,0,0,"4,782,297",441665,4340632,274618,359199,198,543734,125434,433499,3043586,4782297,0,4272808,429486,80003,1067223,1937101,1747045,26436
4/2025,1002835,Ngôi sao,1526,1444,82,1319,207,"48,880,246",2145682,46734564,8751008,8279127,2488783,9630078,1325610,7176470,11127294,17656258,31223988,41074837,6536748,1268661,31285124,16603766,573842,394281
4/2025,1001007,Pháp luật,336,336,0,165,171,"28,764,292",2206002,26558290,1797716,2978287,1189709,9601396,1723404,3407743,7822136,3681458,25082834,25721002,2561195,482095,16933642,8407958,3197703,201584
4/2025,1005858,Spotlight,0,0,0,0,0,"5,914",545,5369,251,24,14,1042,368,686,3490,5914,0,5517,339,58,4063,1742,0,108
4/2025,1003750,Sức khỏe,992,374,618,72,920,"12,416,031",784338,11631693,639086,2698593,311443,3130064,406427,1040808,4099101,1021407,11394624,10966602,1005068,444361,7495724,3602841,1200644,102933
4/2025,1001014,Tâm sự,422,422,0,1,421,"11,114,270",823162,10291108,585614,1033027,528122,2012395,1745068,1737390,3410688,3183393,7930877,9817383,1084724,212163,6261230,3850848,907660,88515
4/2025,1001002,Thế giới,948,948,0,418,530,"46,443,369",4328985,42114384,2524485,4305127,185177,13729706,4824666,6339239,14087661,11784097,34659272,38828711,6352954,1261704,27286264,14142418,4635659,340436
4/2025,1002565,Thể thao,705,648,57,194,511,"28,673,029",2442975,26230054,2090181,3289261,89519,7789305,3878899,2764674,8620014,10460535,18212494,25132395,2999516,541118,17069039,8653384,2617201,178648
4/2025,1001005,Thời sự,422,418,4,312,110,"27,575,543",2082159,25493384,1619127,2691393,1479252,10439835,1373788,2409602,7412413,4284944,23290599,25598486,1712706,264351,15710424,8650090,3007004,188427
4/2025,1001011,Thư giãn,259,259,0,0,259,"4,169,245",375359,3793886,219053,1036449,167335,610904,141526,1268724,686127,295073,3874172,3859524,255322,54399,2221268,1759284,150862,35184
4/2025,1006255,VnE-GO,0,0,0,0,0,"11,538,726",663813,10874913,365370,497006,130375,4296340,342580,837759,5024112,0,0,10601800,781289,155637,5418116,4720977,1336385,56499
4/2025,1000000,VnExpress,0,0,0,0,0,"177,458,706",12599718,164858988,78242699,17233089,71694,72400,1285665,6275371,73576555,177458706,0,154002317,17571111,5885278,83072440,66796441,26447261,992816
4/2025,1001006,Xe,267,238,29,38,229,"9,137,899",847517,8290382,540050,2571598,69425,1559126,882772,799942,2668138,3841163,5296736,8550411,492113,95375,5024098,3577321,474245,53869
4/2025,1001012,Ý kiến,205,205,0,3,202,"4,055,374",276272,3779102,199907,863554,525379,752162,213104,493671,941576,487231,3568143,3717784,280564,57026,2482348,1132990,407231,31004
5/2025,1005628,Bất động sản,198,128,70,26,172,"5,343,300",475602,4867698,299384,819383,167533,1672823,341920,481271,1530042,1154223,4189077,5007684,321925,13691,2358152,2436757,516630,29378
5/2025,1002966,Đời sống,271,197,74,47,224,"10,037,079",745592,9291487,487829,2482182,534485,2465967,518165,1038778,2384820,1113696,8923383,8964169,1031900,41010,5576650,3619605,769403,66306
5/2025,1003231,Du lịch,236,175,61,35,201,"5,610,776",420261,5190515,342442,1702141,132449,1255921,321002,524970,1288688,724726,4886050,5038834,550338,21604,2917090,2222704,431132,36225
5/2025,1003888,English,1335,1295,40,0,1335,"7,831,504",294695,7536809,967992,4092704,174205,206757,107103,354379,1907543,1412295,6419209,2133048,5348811,349645,5727980,1362217,650206,83892
5/2025,1002691,Giải trí,448,432,16,117,331,"16,197,232",1236165,14961067,787220,3023965,470382,4514656,1061550,2256427,3807395,2266493,13930739,13502182,2602772,92278,8844205,5872250,1361716,110932
5/2025,1003497,Giáo dục,341,249,92,58,283,"9,340,724",451942,8888782,600101,4040973,727943,1438492,252389,819388,1403309,970568,8370156,8920627,403155,16942,5881618,2869528,528951,56278
5/2025,1003450,Góc nhìn,31,31,0,0,31,"2,423,910",199267,2224643,159613,124698,42276,687317,52876,141810,1211192,768503,1655407,2220422,196441,7047,781002,1072092,555131,13879
5/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"13,407,860",1313816,12094044,973281,3012496,587164,3351452,773926,1286956,3282753,0,0,12129246,1229463,49151,7420249,4800020,1089357,85234
5/2025,1003159,Kinh doanh,658,362,296,186,472,"18,217,073",1576625,16640448,1636503,2895890,681962,5724403,959491,1232743,4965824,2874390,15342683,16813118,1354451,49504,9616723,6685881,1820131,87122
5/2025,1004492,Mới nhất,0,0,0,0,0,"5,256,260",488061,4768199,304708,385401,257,601386,148407,534492,3279414,5256260,0,4734343,504133,17784,1125083,2221179,1890470,16465
5/2025,1002835,Ngôi sao,1554,1496,58,1336,218,"53,637,094",2299490,51337604,9744296,9541787,2319017,10380597,1453723,8499353,11603103,18951460,34685634,45468374,7909488,259232,33973927,18721273,585500,323160
5/2025,1001007,Pháp luật,348,348,0,149,199,"28,213,458",1881554,26331904,1616168,6089584,793185,7594507,1761590,3283745,6899298,3828080,24385378,25764299,2369984,79175,17899271,7518926,2647538,136591
5/2025,1005858,Spotlight,0,0,0,0,0,"4,807",617,4190,459,36,5,976,436,753,2107,4807,0,4378,415,14,2466,2128,0,211
5/2025,1003750,Sức khỏe,1040,409,631,91,949,"14,565,124",951213,13613911,782348,3248517,424914,3965752,450327,1318062,4281411,1084511,13480613,13272628,1247573,44923,8811000,4159122,1500051,85243
5/2025,1001014,Tâm sự,440,440,0,0,440,"12,354,207",846192,11508015,636744,2098424,471893,2099675,1738245,1811252,3432218,3185614,9168593,11102327,1209590,42290,7329641,4055885,894650,69998
5/2025,1001002,Thế giới,984,984,0,457,527,"51,966,637",4662852,47303785,2875225,6736248,280929,14850668,4948492,6842945,14958633,12072463,39894174,44682012,7040470,244155,30915004,15780111,4997480,253892
5/2025,1002565,Thể thao,683,656,27,194,489,"28,349,653",2452028,25897625,1958925,4186249,169583,7215694,3720606,2765189,8206729,9729100,18620553,25076967,3162915,109771,16628400,9060086,2416999,134037
5/2025,1001005,Thời sự,483,481,2,374,109,"43,901,417",3357586,40543831,3003261,4916111,1745494,16323890,1788712,4207448,11689827,4950978,38950439,40979599,2814328,107490,25822204,13213180,4647803,202166
5/2025,1001011,Thư giãn,272,272,0,0,272,"4,499,312",344334,4154978,220371,1302107,54232,559302,155051,1471708,688851,314623,4184689,4234902,254403,10007,2675648,1637962,155537,27984
5/2025,1006255,VnE-GO,0,0,0,0,0,"9,677,832",591778,9086054,319408,381666,137072,3646216,305673,783634,4062917,0,0,8971134,679786,26912,4502060,4277221,861541,33461
5/2025,1000000,VnExpress,0,0,0,0,0,"185,158,343",13471074,171687269,77155103,19205378,69228,94915,1388721,7355814,79116286,185158343,0,168124040,16458722,575581,89599701,65756050,29013955,704136
5/2025,1001006,Xe,296,264,32,34,262,"10,924,978",985797,9939181,600132,3298501,192414,1757527,1006928,958781,3061869,4294041,6630937,10329378,573045,22555,6099982,4242430,525851,51685
5/2025,1001012,Ý kiến,217,217,0,3,214,"5,214,427",319844,4894583,272949,1541658,613811,842258,229410,599078,1047514,503253,4711174,4847460,352369,14598,3406394,1322482,446620,37485
6/2025,1005628,Bất động sản,199,127,72,31,168,"3,924,977",360014,3564963,193091,390774,130487,1274619,298011,345022,1267870,1021985,2902992,3628455,291955,4567,1555471,1891761,452953,21808
6/2025,1002966,Đời sống,279,189,90,45,234,"10,104,628",726752,9377876,541737,2427035,578965,2607519,487918,928152,2439958,1066879,9037749,9010477,1076128,18023,5865674,3372120,798082,63245
6/2025,1003231,Du lịch,216,163,53,45,171,"4,500,924",353536,4147388,280844,1215474,99979,1041979,266716,392642,1161520,620988,3879936,4004110,488528,8286,2218437,1852179,397988,27085
6/2025,1003888,English,1214,1182,32,0,1214,"8,434,167",247868,8186299,1009254,4841746,182853,199967,98798,344293,1717012,1304274,7129893,1894475,6238888,300804,6494666,1270859,548787,109031
