Month	Domain	Visits
8/2026	24h.com.vn	40210000
8/2026	2sao.vn	884871
8/2026	afamily.vn	2664000
8/2026	dantri.com.vn	37330000
8/2026	eva.vn	5027000
8/2026	giadinh.suckhoedoisong.vn	1966000
8/2026	kenh14.vn	30810000
8/2026	ngoisao.net	6767000
8/2026	ngoisao.vn	2579000
8/2026	phunutoday.vn	1321000
8/2026	saostar.vn	4287000
8/2026	thanhnien.vn	22960000
8/2026	tuoitre.vn	52980000
8/2026	vietnamnet.vn	38540000
8/2026	vnexpress.net	129700000
8/2026	znews.vn	12750000
7/2026	24h.com.vn	43440000
7/2026	2sao.vn	901739
7/2026	afamily.vn	3052000
7/2026	dantri.com.vn	39360000
7/2026	eva.vn	4807000
7/2026	giadinh.suckhoedoisong.vn	2505000
7/2026	kenh14.vn	34240000
7/2026	ngoisao.net	6321000
7/2026	ngoisao.vn	2039000
7/2026	phunutoday.vn	1558000
7/2026	saostar.vn	3421000
7/2026	thanhnien.vn	28390000
7/2026	tuoitre.vn	56510000
7/2026	vietnamnet.vn	40810000
7/2026	vnexpress.net	139700000
7/2026	znews.vn	21810000
6/2026	24h.com.vn	45480000
6/2026	2sao.vn	751801
6/2026	afamily.vn	2869000
6/2026	dantri.com.vn	39450000
6/2026	eva.vn	3434000
6/2026	giadinh.suckhoedoisong.vn	1749000
6/2026	kenh14.vn	31260000
6/2026	ngoisao.net	6233000
6/2026	ngoisao.vn	1704000
6/2026	phunutoday.vn	1735000
6/2026	saostar.vn	3154000
6/2026	thanhnien.vn	24690000
6/2026	tuoitre.vn	47410000
6/2026	vietnamnet.vn	45090000
6/2026	vnexpress.net	139600000
6/2026	znews.vn	20450000
5/2026	24h.com.vn	40200000
5/2026	2sao.vn	849515
5/2026	afamily.vn	2624000
5/2026	dantri.com.vn	39170000
5/2026	eva.vn	4566000
5/2026	giadinh.suckhoedoisong.vn	2938000
5/2026	kenh14.vn	31550000
5/2026	ngoisao.net	7650000
5/2026	ngoisao.vn	1012000
5/2026	phunutoday.vn	2339000
5/2026	saostar.vn	4609000
5/2026	thanhnien.vn	23990000
5/2026	tuoitre.vn	47820000
5/2026	vietnamnet.vn	34960000
5/2026	vnexpress.net	132600000
5/2026	znews.vn	23400000
4/2026	24h.com.vn	40620000
4/2026	2sao.vn	645353
4/2026	afamily.vn	2322000
4/2026	dantri.com.vn	40350000
4/2026	eva.vn	4853000
4/2026	giadinh.suckhoedoisong.vn	3633000
4/2026	kenh14.vn	28070000
4/2026	ngoisao.net	8550000
4/2026	ngoisao.vn	1372000
4/2026	phunutoday.vn	1483000
4/2026	saostar.vn	3781000
4/2026	thanhnien.vn	22540000
4/2026	tuoitre.vn	46680000
4/2026	vietnamnet.vn	27520000
4/2026	vnexpress.net	135400000
4/2026	znews.vn	24940000
3/2026	24h.com.vn	47430000
3/2026	2sao.vn	649597
3/2026	afamily.vn	4354000
3/2026	dantri.com.vn	43240000
3/2026	eva.vn	7747000
3/2026	giadinh.suckhoedoisong.vn	8962000
3/2026	kenh14.vn	30320000
3/2026	ngoisao.net	8986000
3/2026	ngoisao.vn	1592000
3/2026	phunutoday.vn	1540000
3/2026	saostar.vn	6892000
3/2026	thanhnien.vn	25550000
3/2026	tuoitre.vn	50410000
3/2026	vietnamnet.vn	34080000
3/2026	vnexpress.net	144400000
3/2026	znews.vn	31030000
2/2026	24h.com.vn	41900000
2/2026	2sao.vn	667940
2/2026	afamily.vn	1964000
2/2026	dantri.com.vn	31940000
2/2026	eva.vn	6380000
2/2026	giadinh.suckhoedoisong.vn	4363000
2/2026	kenh14.vn	25970000
2/2026	ngoisao.net	7752000
2/2026	ngoisao.vn	1087000
2/2026	phunutoday.vn	1421000
2/2026	saostar.vn	5478000
2/2026	thanhnien.vn	19520000
2/2026	tuoitre.vn	38450000
2/2026	vietnamnet.vn	26270000
2/2026	vnexpress.net	109400000
2/2026	znews.vn	23360000
1/2026	24h.com.vn	54040000
1/2026	2sao.vn	620485
1/2026	afamily.vn	3577000
1/2026	dantri.com.vn	41980000
1/2026	eva.vn	6153000
1/2026	giadinh.suckhoedoisong.vn	5138000
1/2026	kenh14.vn	30370000
1/2026	ngoisao.net	6732000
1/2026	ngoisao.vn	1216000
1/2026	phunutoday.vn	1943000
1/2026	saostar.vn	6110000
1/2026	thanhnien.vn	24690000
1/2026	tuoitre.vn	49760000
1/2026	vietnamnet.vn	37220000
1/2026	vnexpress.net	131300000
1/2026	znews.vn	24330000
12/2025	24h.com.vn	48120000
12/2025	2sao.vn	746058
12/2025	afamily.vn	2947000
12/2025	dantri.com.vn	41410000
12/2025	eva.vn	4763000
12/2025	giadinh.suckhoedoisong.vn	4937000
12/2025	kenh14.vn	30600000
12/2025	ngoisao.net	8062000
12/2025	ngoisao.vn	1173000
12/2025	phunutoday.vn	1039000
12/2025	saostar.vn	5834000
12/2025	thanhnien.vn	24750000
12/2025	tuoitre.vn	52450000
12/2025	vietnamnet.vn	30700000
12/2025	vnexpress.net	126800000
12/2025	znews.vn	25140000
11/2025	24h.com.vn	45230000
11/2025	2sao.vn	848997
11/2025	afamily.vn	2610000
11/2025	dantri.com.vn	41930000
11/2025	eva.vn	5390000
11/2025	giadinh.suckhoedoisong.vn	3478000
11/2025	kenh14.vn	29860000
11/2025	ngoisao.net	9059000
11/2025	ngoisao.vn	1159000
11/2025	phunutoday.vn	1165000
11/2025	saostar.vn	6114000
11/2025	thanhnien.vn	23390000
11/2025	tuoitre.vn	49920000
11/2025	vietnamnet.vn	31740000
11/2025	vnexpress.net	119900000
11/2025	znews.vn	33010000
10/2025	24h.com.vn	50570000
10/2025	2sao.vn	898080
10/2025	afamily.vn	3071000
10/2025	dantri.com.vn	45570000
